Orig,Route String,Dest,Hours1,Hours2,Hours3,Type,Area,Altitude,Aircraft,Direction,Seq,DCNTR,ACNTR
ACY,ACY CRESI T303 JFK T315 EEGOR MAD CARLD V188 GON V374 MINNK TAN,TAN,,,,TEC,,5000,SINGLE ENGINE ONLY,,1,ZDC,ZBW
ACY,ACY ACY T315 PANZE V184 ZIGGI T438 RBV V249 METRO TEB,TEB,,,,TEC,,5000,TURBOJETS ONLY,,1,ZDC,ZNY
ACY,ACY LEEAH ATR TRPOD Q409 PUPYY BAAMF DADES2 TPA,TPA,,,,H,TO MCF.PIE.TPA.VDF,,,,1,ZDC,ZMA
ACY,ACY LEEAH ENO SWANN YANNI GVE Q75 TEUFL BAAMF DADES2 TPA,TPA,,,,H,TO MCF.PIE.TPA.VDF,,,,2,ZDC,ZMA
ACY,ACY HOWIE T303 CYN WRI,WRI,,,,TEC,,5000,,,1,ZDC,ZNY
ACY,ACY ACY T315 PANZE WRI,WRI,,,,TEC,,3000,HELICOPTERS ONLY,,3,ZDC,ZNY
ACY,ACY SIE V44 PANZE WRI,WRI,,,,TEC,,5000,,,4,ZDC,ZNY
ACY,ACY WNSTN T320 HARBO WRI,WRI,,,,TEC,,5000,,,5,ZDC,ZNY
AIR,AIR J162 MRB,MRB,1100-0300,,,HSD,,,,E BND,1,,ZDC
AIR,AIR J34 TRIXY,TRIXY,1100-0300,,,HSD,,,,E BND,1,,
AJO,AJO PDZ PDZ270/013 RNDAL V363 DANAH SXC AVX,AVX,,,,TEC,CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO AVX,JMPQ70,,ONTP8,1,ZLA,ZLA
AJO,AJO PDZ V186 VNY BUR,BUR,,,,TEC,CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO BUR VNY WHP,PQ60,,ONTP1,1,ZLA,ZLA
AJO,AJO PDZ V197 POM V264 ITSME V186 VNY BUR,BUR,,,,TEC,CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO BUR VNY WHP,JM80,,ONTP2,2,ZLA,ZLA
AJO,AJO PDZ V186 FIM CMA,CMA,,,,TEC,CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CMA OXR NTD,PQ60,,ONTP14,1,ZLA,ZLA
AJO,AJO PDZ V197 POM V264 ITSME V186 FIM CMA,CMA,,,,TEC,CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CMA OXR NTD,JM80,,ONTP15,2,ZLA,ZLA
AJO,AJO PDZ V186 ROBNN V458 OCN CRQ,CRQ,,,,TEC,CCB CNO EMT HMT REI L65 AJO RAL RIR RIV SBD F70 ONT POC TO CRQ NFG NKX OKB,JM110PQ70,,ONTP11,1,ZLA,ZLA
